出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管佔比,職業災害人數及比率-人數,職業災害人數及比率-比率
"1120705","111","6222","上揚","801","676","472","346","66.67%","0人","0.00%"
"1120705","111","6223","旺矽","1416","1210","1266","1103","17.10%","0人","0.00%"
"1120705","111","6227","茂綸","1619","1478","1303","1219","26.67%","0人","0.00%"
"1120705","111","6228","全譜","948","794","637","582","33.33%","0人","0.00%"
"1120705","111","6229","研通","1291","1103","891","837","0.00%","0人","0.00%"
"1120705","111","6231","系微","1366","1198","1179","955","12.33%","0人","0.00%"
"1120705","111","6233","旺玖","1489","1308","1155","1046","33.00%","0人","0.00%"
"1120705","111","6234","高僑","809","710","572","435","20.68%","0人","0.00%"
"1120705","111","6236","康呈","751","611","539","542","50.00%","0人","0.00%"
"1120705","111","6237","驊訊","1470","1270","1210","1100","12.50%","0人","0.00%"
"1120705","111","6240","松崗","471","385","433","500","44.44%","0人","0.00%"
"1120705","111","6241","易通展","833","698","646","547","37.50%","0人","0.00%"
"1120705","111","6242","立康","691","581","588","517","65.22%","2人","1.72%"
"1120705","111","6244","茂迪","892","758","737","635","24.00%","0人","0.00%"
"1120705","111","6245","立端","1397","1237","936","712","26.19%","11人","1.48%"
"1120705","111","6246","臺龍","1171","1026","750","713","20.00%","0人","0.00%"
"1120705","111","6248","沛波","868","720","675","634","75.00%","1人","0.85%"
"1120705","111","6259","百徽","1297","1131","711","760","10.00%","0人","0.00%"
"1120705","111","6261","久元","1188","1024","1030","828","24.14%","0人","0.00%"
"1120705","111","6263","普萊德","1071","925","852","740","52.00%","0人","0.00%"
"1120705","111","6264","富裔","963","823","834","705","30.77%","0人","0.00%"
"1120705","111","6265","方土昶","1103","941","611","604","40.00%","0人","0.00%"
"1120705","111","6266","泰詠","795","666","637","587","56.00%","13人","2.83%"
"1120705","111","6270","倍微","1512","1302","1079","976","8.24%","0人","0.00%"
"1120705","111","6274","台燿","1026","867","789","685","8.00%","2人","0.18%"
"1120705","111","6275","元山","656","552","558","424","30.43%","1人","0.20%"
"1120705","111","6276","安鈦克","1201","1013","810","712","50.00%","0人","0.00%"
"1120705","111","6279","胡連","1027","845","924","678","37.70%","0人","0.00%"
"1120705","111","6284","佳邦","783","664","618","493","0.00%","2人","0.26%"
"1120705","111","6287","元隆","838","714","597","489","26.32%","12人","2.84%"
"1120705","111","6290","良維","1724","1546","1085","841","12.50%","0人","0.00%"
"1120705","111","6291","沛亨","1313","1122","1005","964","37.50%","0人","0.00%"
"1120705","111","6292","迅德","1618","1443","997","692","40.00%","0人","0.00%"
"1120705","111","6294","智基","680","581","517","469","50.00%","2人","0.46%"
"1120705","111","6404","通訊-KY","","","","","66.67%","0人","0.00%"
"1120705","111","6411","晶焱","3096","2870","1810","1459","20.00%","0人","0.00%"
"1120705","111","6417","韋僑","689","588","611","487","49.00%","0人","0.00%"
"1120705","111","6418","詠昇","735","611","556","531","33.33%","0人","0.00%"
"1120705","111","6419","京晨科","933","770","742","552","0.00%","0人","0.00%"
"1120705","111","6425","易發","929","774","770","716","7.90%","1人","0.45%"
"1120705","111","6432","今展科","1007","830","778","675","39.13%","1人","1.18%"
"1120705","111","6435","大中","2712","2465","1925","1879","43.48%","0人","0.00%"
"1120705","111","6441","廣錠","886","753","515","469","14.29%","0人","0.00%"
"1120705","111","6446","藥華藥","2009","1827","1166","907","40.35%","1人","0.35%"
"1120705","111","6457","紘康","1614","1288","1245","1122","24.00%","0人","0.00%"
"1120705","111","6461","益得","1274","1121","896","769","31.30%","0人","0.00%"
"1120705","111","6462","神盾","2116","1868","1735","1388","16.46%","0人","0.00%"
"1120705","111","6465","威潤","1058","891","803","751","12.90%","0人","0.00%"
"1120705","111","6469","大樹","603","488","546","496","19.93%","10人","0.46%"
"1120705","111","6470","宇智","1152","1002","902","616","18.00%","0人","0.00%"
"1120705","111","6472","保瑞","1534","1377","726","521","45.00%","0人","0.00%"
"1120705","111","6482","弘煜科","761","653","565","514","33.33%","0人","0.00%"
"1120705","111","6485","點序","1632","1421","1375","1108","21.00%","0人","0.00%"
"1120705","111","6486","互動","1304","1127","987","762","29.55%","0人","0.00%"
"1120705","111","6488","環球晶","1527","1351","1307","1228","22.82%","7人","0.41%"
"1120705","111","6492","生華科","1929","1654","1227","1032","71.43%","0人","0.00%"
"1120705","111","6494","九齊","2841","2602","2794","2349","25.00%","0人","0.00%"
"1120705","111","6496","科懋","1238","1032","1026","897","41.00%","0人","0.00%"
"1120705","111","6499","益安","1455","1232","998","934","63.00%","0人","0.00%"
"1120705","111","6506","雙邦","960","839","780","701","17.20%","0人","0.00%"
"1120705","111","6508","惠光","885","748","631","493","33.33%","0人","0.00%"
"1120705","111","6509","聚和","1040","876","872","785","30.00%","2人","0.40%"
"1120705","111","6510","精測","1201","1038","1002","917","17.00%","4人","0.30%"
"1120705","111","6512","啟發電","1003","860","756","605","25.00%","0人","0.00%"
"1120705","111","6514","芮特-KY","","","","","38.59%","1人","0.49%"
"1120705","111","6516","勤崴國際","1093","932","848","813","37.00%","0人","0.00%"
"1120705","111","6517","保勝光學","653","540","505","448","45.00%","2人","0.84%"
"1120705","111","6523","達爾膚","968","817","680","728","71.00%","0人","0.00%"
"1120705","111","6527","明達醫","1260","1117","936","769","13.76%","0人","0.00%"
"1120705","111","6530","創威","813","692","629","479","0.00%","0人","0.00%"
"1120705","111","6532","瑞耘","845","710","687","634","35.00%","1人","0.72%"
"1120705","111","6535","順藥","1614","1278","1117","1093","83.33%","0人","0.00%"
"1120705","111","6538","倉和","911","770","662","533","26.67%","0人","0.00%"
"1120705","111","6542","隆中","1212","1024","903","671","12.50%","0人","0.00%"
"1120705","111","6546","正基","1902","1691","1117","987","22.22%","0人","0.00%"
"1120705","111","6547","高端疫苗","1793","1076","1125","943","35.00%","0人","0.00%"
"1120705","111","6548","長科*","867","731","757","662","30.25%","9人","0.41%"
"1120705","111","6556","勝品","851","737","714","606","42.20%","0人","0.00%"
"1120705","111","6560","欣普羅","1516","1326","1351","1202","13.00%","0人","0.00%"
"1120705","111","6561","是方","2757","2032","2015","1855","24.24%","0人","0.00%"
"1120705","111","6568","宏觀","2131","1930","1540","1374","8.70%","0人","0.00%"
"1120705","111","6569","醫揚","1438","1293","1062","997","23.00%","0人","0.00%"
"1120705","111","6570","維田","1269","1100","851","791","18.50%","0人","0.00%"
"1120705","111","6574","霈方","787","653","700","559","68.18%","2人","0.63%"
"1120705","111","6576","逸達","3241","3013","1308","1119","20.00%","0人","0.00%"
"1120705","111","6577","勁豐","1261","1117","912","841","8.72%","0人","0.00%"
"1120705","111","6578","達邦蛋白","837","658","563","496","37.50%","0人","0.00%"
"1120705","111","6584","南俊國際","611","509","","","35.29%","17人","2.82%"
"1120705","111","6588","東典","749","617","564","521","44.44%","0人","0.00%"
"1120705","111","6589","台康生技","1541","1359","957","844","38.20%","0人","0.00%"
"1120705","111","6590","普鴻","1010","862","979","891","44.00%","0人","0.00%"
"1120705","111","6593","台灣銘板","770","644","608","523","30.00%","1人","0.45%"
"1120705","111","6596","寬宏藝術","441","385","660","532","71.43%","0人","0.00%"
"1120705","111","6603","富強鑫","838","715","645","564","33.33%","5人","1.73%"
"1120705","111","6609","瀧澤科","901","767","815","759","8.70%","7人","2.08%"
"1120705","111","6612","奈米醫材","710","604","634","461","26.67%","0人","0.00%"
"1120705","111","6613","朋億*","1462","1281","1274","1054","22.22%","0人","0.00%"
"1120705","111","6615","慧智","980","845","679","599","0.00%","0人","0.00%"
"1120705","111","6616","特昇-KY","","","","","1.20%","0人","0.00%"
"1120705","111","6624","萬年清","1006","836","776","668","45.00%","0人","0.00%"
"1120705","111","6629","泰金-KY","","","","","50.00%","0人","0.00%"
"1120705","111","6640","均華","1447","1283","1152","1084","16.32%","0人","0.00%"
"1120705","111","6642","富致","905","770","647","462","8.33%","132人","0.00%"
"1120705","111","6643","M31","2673","2288","2367","1976","17.74%","0人","0.00%"
"1120705","111","6649","台生材","1082","927","669","571","37.50%","0人","0.00%"
"1120705","111","6651","全宇昕","1814","1633","1232","778","50.00%","0人","0.00%"
"1120705","111","6654","天正國際","781","667","615","542","8.70%","0人","0.00%"
"1120705","111","6661","威健生技","1264","1101","754","684","35.71%","0人","0.00%"
"1120705","111","6662","樂斯科","882","742","726","604","31.00%","0人","0.00%"
"1120705","111","6664","群翊","1228","1070","942","883","12.50%","0人","0.00%"
"1120705","111","6667","信紘科","1180","1011","958","832","23.33%","4人","1.23%"
"1120705","111","6679","鈺太","2830","2613","1448","1088","28.57%","0人","0.00%"
"1120705","111","6680","鑫創電子","1072","914","874","699","26.00%","0人","0.00%"
"1120705","111","6683","雍智科技","1095","952","933","765","2.00%","0人","0.00%"
"1120705","111","6684","安格","1658","1451","1391","1261","33.33%","0人","0.00%"
"1120705","111","6690","安碁資訊","1231","1055","1016","841","21.70%","0人","0.00%"
"1120705","111","6693","廣閎科","1698","1478","1105","928","11.11%","0人","0.00%"
"1120705","111","6697","東捷資訊","1023","860","865","644","36.58%","0人","0.00%"
"1120705","111","6703","軒郁","1221","1018","558","582","76.50%","0人","0.00%"
"1120705","111","6708","天擎","1436","1238","1192","1109","20.00%","0人","0.00%"
"1120705","111","6712","長聖","830","694","608","541","25.00%","6人","6.74%"
"1120705","111","6716","應廣","2177","1950","1780","1479","17.00%","0人","0.00%"
